id,project_id,requirements_added,requirements_removed,requirements_hidden_added,requirements_hidden_removed,base_project_duration_override,dynamic_project_duration_modifiers_added,dynamic_project_duration_modifiers_removed,requirements_stall_removed,requirements_stall_added,requirements_reset_added,requirements_reset_removed,project_complete_effects_added,project_complete_effects_removed,project_ongoing_effects_added,project_ongoing_effects_removed
aotd_domain_archaeology,industry_domain_archaeology,,,"[
	{ 'requirement_id' : 'aotd_domain_archaeology' }
]",,,,,,,,,,,,
aotd_ai_algorithms,industry_ai_mining_drones,,,"[
	{ 'requirement_id' : 'aotd_ai_algorithms' }
]",,,,,,,,,,,,
aotd_atmosphere_manipulation,industry_atmosphere_processor,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_genetic_manipulation_mesozoic_park,industry_mesozoic_park,,,"[
	{ 'requirement_id' : 'aotd_genetic_manipulation' }
]",,,,,,,,,,,,
aotd_genetic_manipulation_genelab,industry_genelab,,,"[
	{ 'requirement_id' : 'aotd_genetic_manipulation' }
]",,,,,,,,,,,,

aotd_advanced_terraforming_domed_cities,industry_domed_cities,,,"[
	{ 'requirement_id' : 'aotd_advanced_terraforming' }
]",,,,,,,,,,,,
aotd_advanced_terraforming_seafloor_cities,industry_seafloor_cities,,,"[
	{ 'requirement_id' : 'aotd_advanced_terraforming' }
]",,,,,,,,,,,,
aotd_advanced_terraforming_ismara_sling,industry_ismara_sling,,,"[
	{ 'requirement_id' : 'aotd_advanced_terraforming' }
]",,,,,,,,,,,,
aotd_advanced_terraforming_asteroid_processing,industry_asteroid_processing,,,"[
	{ 'requirement_id' : 'aotd_advanced_terraforming' }
]",,,,,,,,,,,,

aotd_remnant_algorithms,industry_kletka_simulator,,,"[
	{ 'requirement_id' : 'aotd_remnant_algorithms' }
]",,,,,,,,,,,,

aotd_chameleon,industry_chameleon,,,"[
	{ 'requirement_id' : 'aotd_chameleon' }
]",,,,,,,,,,,,

aotd_magnetoshield,industry_magnetoshield,,,"[
	{ 'requirement_id' : 'aotd_magnetoshield' }
]",,,,,,,,,,,,

aotd_cloning,industry_cloning,,,"[
	{ 'requirement_id' : 'aotd_cloning_technology' }
]",,,,,,,,,,,,

aotd_limelight_network,industry_limelight_network,,,"[
	{ 'requirement_id' : 'aotd_limelight_network' }
]",,,,,,,,,,,,

aotd_tectonic_manipulation,industry_harmonic_damper,,,"[
	{ 'requirement_id' : 'aotd_tectonic_manipulation' }
]",,,,,,,,,,,,

aotd_gravity_manipulation,industry_planetary_agrav_field,,,"[
	{ 'requirement_id' : 'aotd_gravity_manipulation' }
]",,,,,,,,,,,,

aotd_light_manipulation,industry_stellar_reflector_array,,,"[
	{ 'requirement_id' : 'aotd_light_manipulation' }
]",,,,,,,,,,,,

aotd_remnant_station,industry_remnant_station,,,"[
	{ 'requirement_id' : 'aotd_remnant_station' }
]",,,,,,,,,,,,

aotd_planet_cracking,industry_planet_cracker,,,"[
	{ 'requirement_id' : 'aotd_planet_cracking' }
]",,,,,,,,,,,,

aotd_ouyang_optimizer,industry_ouyang_optimizer,,,"[
	{ 'requirement_id' : 'aotd_ouyang_optimizer' }
]",,,,,,,,,,,,

aotd_perihelion_project,industry_perihelion_project,,,"[
	{ 'requirement_id' : 'aotd_perihelion_project' }
]",,,,,,,,,,,,

aotd_terraforming_templates_arid_type_change,arid_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,
aotd_terraforming_templates_jungle_type_change,jungle_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,
aotd_terraforming_templates_terran_type_change,terran_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,
aotd_terraforming_templates_water_type_change,water_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,
aotd_terraforming_templates_tundra_type_change,tundra_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,
aotd_terraforming_templates_frozen_type_change,frozen_type_change,,,"[
	{ 'requirement_id' : 'aotd_planet_type_change' }
]",,,,,,,,,,,,

aotd_advanced_terraforming_farmland_resource_improvement,farmland_resource_improvement,,,"[
	{ 'requirement_id' : 'aotd_resource_improvements' }
]",,,,,,,,,,,,
aotd_advanced_terraforming_organics_resource_improvement,organics_resource_improvement,,,"[
	{ 'requirement_id' : 'aotd_resource_improvements' }
]",,,,,,,,,,,,
aotd_advanced_terraforming_volatiles_resource_improvement,volatiles_resource_improvement,,,"[
	{ 'requirement_id' : 'aotd_resource_improvements' }
]",,,,,,,,,,,,

aotd_extreme_weather_condition_improvement,extreme_weather_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_mild_climate_condition_improvement,mild_climate_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_habitable_condition_improvement,habitable_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_atmosphere_density_condition_improvement,atmosphere_density_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_toxic_atmosphere_condition_improvement,toxic_atmosphere_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,
aotd_remove_atmosphere_condition_improvement,remove_atmosphere_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_atmosphere_manipulation' }
]",,,,,,,,,,,,

aotd_irradiated_condition_improvement,irradiated_condition_improvement,,,"[
	{ 'requirement_id' : 'aotd_genetic_manipulation' }
]",,,,,,,,,,,,

aotd_craft_corrupted_nanoforge,craft_corrupted_nanoforge,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_pristine_nanoforge,craft_pristine_nanoforge,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_synchrotron_core,craft_synchrotron_core,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_hypershunt_tap,craft_hypershunt_tap,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_cryoarithmetic_engine,craft_cryoarithmetic_engine,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_planetkiller_device,craft_planetkiller_device,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_orbital_fusion_lamp,craft_orbital_fusion_lamp,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
aotd_craft_fullerene_spool,craft_fullerene_spool,,,"[
	{ 'requirement_id' : 'false' }
]",,,,,,,,,,,,
